premise,date,treatment,kwh,gp_1,gp_2,gp_3,gp_4,tempf
1,03/19/2022,0,.3431133,.3678023,.3503566,.3541066,.3489468,53.29864
1,03/20/2022,0,.3629564,.371021,.3510907,.3421583,.3410033,53.11454
1,03/21/2022,0,.322759,.3317793,.337066,.3352829,.3344223,55.76727
1,03/22/2022,0,.29504,.3069696,.3187487,.3172245,.3267931,62.06046
1,03/23/2022,0,.2979306,.3157978,.3051535,.3225808,.318862,54.42977
1,03/24/2022,0,.3282692,.3332001,.3198295,.3215638,.3296638,52.59159
1,03/25/2022,0,.3304662,.322329,.3176931,.3192873,.3211645,52.82455
1,03/26/2022,0,.3076093,.3362835,.3147037,.321124,.3309352,54.30273
1,03/27/2022,0,.3450283,.3527471,.3265269,.3339455,.3243675,56.2025
1,03/28/2022,0,.3201485,.3251895,.3241508,.329682,.3371364,55.51273
1,03/29/2022,0,.323088,.3276846,.3345147,.3293085,.3367696,53.53046
1,03/30/2022,0,.3165359,.3246104,.3344986,.3320402,.3378984,53.29477
1,03/31/2022,0,.3185521,.3145529,.3222187,.3134926,.3197452,53.6925
1,04/01/2022,0,.3276231,.3020453,.3142596,.3179345,.3297109,54.21455
1,04/02/2022,0,.3111016,.327841,.3136724,.3135046,.3109745,56.54977
1,04/03/2022,0,.3443814,.338901,.3181086,.3201017,.3275819,54.9025
1,04/04/2022,0,.3110205,.3166468,.3179642,.331609,.3315138,56.27068
1,04/05/2022,0,.295885,.3145452,.2947496,.3181364,.3171694,57.62363
1,04/06/2022,0,.296176,.3085262,.3017633,.3165281,.3124115,64.33841
1,04/07/2022,0,.279227,.3041379,.3018463,.3231527,.3173624,68.59227
1,04/08/2022,0,.2886689,.2977636,.3022548,.3186156,.3216926,61.75045
1,04/09/2022,0,.3138896,.3043838,.3010059,.3186967,.3212385,56.29568
1,04/10/2022,0,.319216,.3264496,.3271914,.3241553,.3157768,56.28432
1,04/11/2022,0,.3424337,.3385884,.3418847,.3516989,.3371824,51.55636
1,04/12/2022,0,.3456321,.3423518,.3521616,.3473279,.3446455,50.48182
1,04/13/2022,0,.3759813,.3349349,.3474688,.3413453,.3445224,51.67455
1,04/14/2022,0,.3465972,.3448383,.3630583,.3529317,.3426047,54.65932
1,04/15/2022,0,.3475631,.3185372,.3343192,.3288952,.3325657,53.86045
1,04/16/2022,0,.3774816,.3454953,.3360378,.3378189,.3412444,54.8
1,04/17/2022,0,.389274,.3573657,.3416406,.3359429,.326073,52.03204
1,04/18/2022,0,.3916396,.3350602,.3289617,.3327692,.3366581,55.05204
1,04/19/2022,0,.3004064,.308986,.3051538,.3139776,.3240062,57.35341
1,04/20/2022,0,.3279905,.3071862,.3085813,.3054915,.3076599,57.96114
1,04/21/2022,0,.3053135,.3124862,.3024526,.3106144,.3212648,57.41091
1,04/22/2022,0,.3007201,.3007363,.3010431,.3189877,.3129945,55.39614
1,04/23/2022,0,.3187979,.3177806,.3062434,.3127974,.3155992,56.52568
1,04/24/2022,0,.342601,.3340518,.3112151,.3139025,.3245143,56.96341
1,04/25/2022,0,.311735,.3124462,.3016827,.3082234,.3129001,57.34182
1,04/26/2022,0,.3209215,.3072459,.2897247,.3187853,.3154255,55.57137
1,04/27/2022,0,.3226077,.3094591,.3030264,.3128049,.3103449,53.72364
1,04/28/2022,0,.3338412,.3163344,.3034002,.3255108,.3299505,54.09409
1,04/29/2022,0,.3213383,.3029148,.3161139,.3205992,.322625,56.16568
1,04/30/2022,0,.3066852,.3189217,.3062564,.308562,.3215388,56.77136
1,05/01/2022,0,.3642943,.3237028,.3175905,.3292444,.3267834,55.98568
1,05/02/2022,0,.3184979,.3076731,.3199106,.3186465,.3221051,55.45023
1,05/03/2022,0,.3072427,.3020916,.3125925,.3135133,.3115549,58.545
1,05/04/2022,0,.2998217,.3009999,.3003964,.3128128,.3142155,57.17932
1,05/05/2022,0,.2936443,.2890937,.3055702,.3100113,.318649,56.88932
1,05/06/2022,0,.3184857,.2926263,.2986966,.3099652,.3137865,60.60409
1,05/07/2022,0,.337879,.3072093,.3080281,.3024805,.3100798,57.50091
1,05/08/2022,0,.3492311,.3351643,.3281875,.32284,.3126436,54.16795
1,05/09/2022,0,.3276033,.3145769,.3276007,.3322215,.3364378,53.00636
1,05/10/2022,0,.3434129,.3155571,.3197621,.3240777,.3275656,52.82545
1,05/11/2022,0,.3242533,.3146778,.3211767,.3228963,.3284883,53.66977
1,05/12/2022,0,.3069926,.3042742,.307252,.321618,.3170311,55.51295
1,05/13/2022,0,.2895052,.2989118,.3022956,.3109856,.3105044,60.11364
1,05/14/2022,0,.2897019,.3098538,.2966399,.3143773,.3060949,60.66114
1,05/15/2022,0,.3044441,.3285592,.3121689,.3171761,.3103355,57.57477
1,05/16/2022,0,.2933441,.3116812,.3060555,.3129342,.3051344,57.22955
1,05/17/2022,0,.2778514,.291941,.298835,.3157609,.3117446,56.78704
1,05/18/2022,0,.275847,.3024902,.2970515,.3079316,.3169057,61.44045
1,05/19/2022,0,.2816462,.2951987,.2917378,.312929,.3133605,60.94296
1,05/20/2022,0,.2735432,.2974726,.289815,.3065327,.2989714,59.90454
1,05/21/2022,0,.307038,.2929423,.3116414,.3060794,.3132184,58.36864
1,05/22/2022,0,.3021798,.3085847,.3122291,.3168752,.3123315,57.66864
1,05/23/2022,0,.2747568,.3003657,.2994698,.3137111,.3091421,59.35863
1,05/24/2022,0,.2677153,.3119602,.2995055,.3238866,.3255982,65.68954
1,05/25/2022,0,.2843707,.3060141,.3013317,.3324531,.3242128,64.72704
1,05/26/2022,0,.2852556,.2936055,.2933091,.3046457,.3134629,60.04045
1,05/27/2022,0,.2920931,.2929731,.2876221,.2971147,.2971555,60.1675
1,05/28/2022,0,.3328774,.3007559,.292889,.3009478,.306489,60.42227
1,05/29/2022,0,.2859159,.3006817,.2996033,.3014858,.3145443,59.48682
1,05/30/2022,0,.3194577,.3170094,.3034536,.3043387,.3175744,58.08909
1,05/31/2022,0,.3010876,.3003845,.2892755,.3107162,.3174127,59.63364
1,06/01/2022,0,.2866653,.3027188,.2886386,.3059667,.317269,60.09068
1,06/02/2022,0,.2847641,.2986165,.2951665,.3084962,.3092989,59.06454
1,06/03/2022,0,.3230288,.2891287,.299959,.3086989,.3041131,60.66159
1,06/04/2022,0,.321242,.3126351,.2933139,.3078538,.3053445,62.88387
1,06/05/2022,0,.3462735,.3266123,.3057118,.3186907,.3192476,65.32387
1,06/06/2022,0,.3004116,.2936373,.2933237,.3217187,.3199222,61.07477
1,06/07/2022,0,.2858645,.2962325,.2879688,.3118875,.3018853,59.62954
1,06/08/2022,0,.2675337,.2921675,.2769096,.3168864,.3102068,62.04864
1,06/09/2022,0,.2848312,.29761,.2846644,.3213149,.3205113,65.04182
1,06/10/2022,0,.2961008,.3093504,.3121086,.3463266,.3390504,71.20296
1,06/11/2022,0,.2809496,.3296285,.315719,.3508891,.3586366,68.71931
1,06/12/2022,0,.287949,.3218743,.3058048,.3376071,.3261111,64.01295
1,06/13/2022,0,.2796947,.2956305,.2859425,.3173925,.3161329,61.46296
1,06/14/2022,0,.3030149,.3005714,.2929413,.3105529,.3172307,63.3025
1,06/15/2022,0,.2935225,.3069391,.2918542,.3090456,.3201985,61.12841
1,06/16/2022,0,.2971653,.2976333,.287261,.3036242,.314192,59.76796
1,06/17/2022,0,.2891078,.2922395,.2871203,.3023399,.3065758,59.64727
1,06/18/2022,0,.2794016,.3068694,.2928554,.2990683,.30124,59.73091
1,06/19/2022,0,.2814551,.3182701,.2919396,.3061652,.3100305,61.47364
1,06/20/2022,0,.291329,.3194059,.2952276,.3304533,.3294454,65.19296
1,06/21/2022,0,.3208383,.3277744,.3266819,.365396,.3563606,75.30022
1,06/22/2022,0,.3243957,.3289237,.3280281,.3591499,.3591352,67.62114
1,06/23/2022,0,.3143716,.3054444,.3086553,.3455521,.3536423,63.34023
1,06/24/2022,0,.3054485,.3053966,.3064919,.3245779,.319598,61.78932
1,06/25/2022,0,.2772662,.3156367,.2922789,.3185395,.3289513,61.11182
1,06/26/2022,0,.2952297,.3236312,.294312,.3265632,.3175054,60.37068
1,06/27/2022,0,.276323,.307141,.2917596,.3206873,.3207135,60.63023
1,06/28/2022,0,.2693476,.3013447,.2865048,.3185983,.3102142,62.24568
1,06/29/2022,0,.3416792,.3122049,.2786205,.3107515,.3184209,59.81909
1,06/30/2022,0,.3343681,.3090537,.2840064,.3151411,.3145921,57.93136
1,07/01/2022,0,.2964894,.3018397,.2894063,.3116417,.3150421,58.55591
1,07/02/2022,0,.3122889,.3174787,.305647,.3100469,.3140151,58.35955
1,07/03/2022,0,.2769283,.3146836,.2946552,.2992062,.2958573,59.25954
1,07/04/2022,0,.2746809,.3095166,.296425,.304538,.3209544,64.62682
1,07/05/2022,0,.3242604,.3012038,.3003505,.3133146,.328121,67.47409
1,07/06/2022,0,.296297,.3132367,.2928942,.3137041,.3282427,65.42364
1,07/07/2022,0,.2990038,.3006082,.2969394,.3043999,.3276936,62.98977
1,07/08/2022,0,.3178278,.2948664,.2895845,.3076788,.3267627,62.39909
1,07/09/2022,0,.314851,.3082024,.297208,.3054581,.3185728,62.33341
1,07/10/2022,0,.3259446,.327415,.3103597,.3280288,.322998,64.46295
1,07/11/2022,0,.3692308,.3171168,.3114203,.3379305,.3329565,63.39545
1,07/12/2022,0,.3315364,.304341,.2968921,.3160545,.3180257,63.91705
1,07/13/2022,0,.3297899,.3019804,.2921368,.3081346,.3286199,63.52341
1,07/14/2022,0,.3177362,.3044184,.2868815,.3099985,.3127795,62.03841
1,07/15/2022,0,.3283004,.2944446,.286754,.3110685,.321277,60.79613
1,07/16/2022,0,.3404681,.3138491,.2964175,.3150273,.3204509,62.05318
1,07/17/2022,0,.3320773,.3105916,.3108822,.3252756,.323112,61.86295
1,07/18/2022,0,.3447684,.3001128,.3059528,.321106,.3207552,62.95182
1,07/19/2022,0,.3161278,.3084155,.2954723,.3151796,.3186872,60.18409
1,07/20/2022,0,.3038567,.3038448,.295927,.3062219,.3179407,59.46296
1,07/21/2022,0,.3275742,.3023966,.3012063,.3036577,.3155473,59.16636
1,07/22/2022,0,.3330797,.2989838,.295442,.2994476,.3162519,60.95773
1,07/23/2022,0,.3412564,.3176877,.3004392,.3032303,.3084361,58.86614
1,07/24/2022,0,.3302561,.3142041,.3021754,.3122934,.3244443,59.31091
1,07/25/2022,0,.3382548,.3090108,.2968685,.3105245,.3213779,60.80909
1,07/26/2022,0,.3236298,.2971379,.2892078,.3048008,.3141054,62.63932
1,07/27/2022,0,.3106773,.2921446,.2850766,.3030745,.3059833,61.305
1,07/28/2022,0,.3176054,.2953985,.2865278,.3004176,.3100708,60.65386
1,07/29/2022,0,.3280497,.2932562,.2940263,.2983636,.3111867,62.42432
1,07/30/2022,0,.3454641,.3059217,.2979572,.2979052,.3173577,63.53841
1,07/31/2022,0,.3656114,.3157697,.3067766,.3092506,.3074018,64.33978
1,08/01/2022,0,.3536833,.3016883,.3047551,.3120032,.3148227,65.38
1,08/02/2022,0,.3256201,.2983741,.2981808,.3084243,.3117806,65.58114
1,08/03/2022,0,.3133433,.2987549,.3060235,.3108269,.3256308,64.05182
1,08/04/2022,0,.3278434,.2999664,.3100646,.3114574,.3377974,65.79091
1,08/05/2022,0,.3504686,.2926421,.3067734,.3089201,.3213827,66.38182
1,08/06/2022,0,.3191073,.2921719,.3110353,.3159728,.3141085,66.06319
1,08/07/2022,0,.3360336,.3129128,.319338,.3220077,.3059913,65.68114
1,08/08/2022,0,.3407036,.3008515,.3027668,.3167678,.313716,65.89977
1,08/09/2022,0,.3304313,.2930689,.300349,.3128355,.3228467,66.50887
1,08/10/2022,0,.3248705,.2972293,.3041607,.3165832,.3327963,63.23273
1,08/11/2022,0,.3382356,.2939472,.3064624,.3169817,.323248,65.77205
1,08/12/2022,0,.337458,.2931689,.296593,.3104335,.3204925,65.02182
1,08/13/2022,0,.3405534,.3030201,.3024193,.3100931,.3249761,64.695
1,08/14/2022,0,.345983,.3245941,.3101432,.3267919,.3154334,63.91864
1,08/15/2022,0,.356384,.2993554,.3150456,.3250963,.3207211,64.06364
1,08/16/2022,0,.3574494,.3089271,.3179497,.3339821,.3367215,66.04455
1,08/17/2022,0,.3341201,.3034267,.3167057,.323016,.3242556,63.38023
1,08/18/2022,0,.319362,.3023387,.3010808,.3103163,.3211096,61.85568
1,08/19/2022,0,.3415596,.3009972,.2945268,.3096922,.3127491,62.75818
1,08/20/2022,0,.3539413,.3198527,.2935084,.3130176,.3271603,63.89068
1,08/21/2022,0,.3338064,.3162899,.3107816,.3278214,.320939,63.95841
1,08/22/2022,0,.351009,.3022163,.3065479,.3196963,.321954,64.93091
1,08/23/2022,0,.3490698,.3063175,.3105809,.3250513,.3189665,63.97546
1,08/24/2022,0,.3396734,.3054203,.3003564,.3164131,.3185832,62.39932
1,08/25/2022,0,.3517786,.2962964,.2976122,.3189967,.3088219,63.88955
1,08/26/2022,0,.3252047,.2971758,.3007255,.3196705,.3180549,63.23182
1,08/27/2022,0,.3331828,.3034619,.3072053,.3244132,.3153098,62.64182
1,08/28/2022,0,.3681087,.3150327,.3078967,.3167163,.3090621,63.55136
1,08/29/2022,0,.3402503,.2979238,.2979013,.3149953,.3107674,63.77295
1,08/30/2022,0,.3257361,.2921056,.2920996,.3082674,.3137184,63.62955
1,08/31/2022,0,.3301372,.3010882,.2954088,.3052102,.3145485,63.14023
1,09/01/2022,0,.302314,.2896065,.2984461,.3198795,.3091525,63.04113
1,09/02/2022,0,.2971794,.2930047,.3021182,.3042539,.3113546,61.93818
1,09/03/2022,0,.2908149,.3076549,.3157113,.3171098,.3116776,67.24113
1,09/04/2022,0,.3258419,.3175522,.3410448,.3449564,.3298924,71.43409
1,09/05/2022,0,.370201,.3655472,.3836042,.3946649,.4007083,76.79523
1,09/06/2022,0,.4210997,.3723058,.3861392,.4259755,.4141332,76.86409
1,09/07/2022,0,.3853118,.3476819,.3700738,.3945539,.3861995,72.75523
